arrival_time,carbon_source,concentration_mM,departure_time,integrated_intensity,slope_mV_mM,intercept_mV_mM
24.3,acetate,0.75,25.6,16498.377253814146,13848.08602550658,6110.861058489223
24.3,acetate,1.5,25.6,29252.488210818312,13848.08602550658,6110.861058489223
24.3,acetate,3.0,25.6,44401.27600554785,13848.08602550658,6110.861058489223
24.3,acetate,4.5,25.6,67821.35922330097,13848.08602550658,6110.861058489223
24.3,acetate,6.0,25.6,90688.15950069348,13848.08602550658,6110.861058489223
15.1,glucose,0.25,16.1,56290.39251040222,114259.04478874196,19219.801030073402
15.1,glucose,0.5,16.1,76810.74757281554,114259.04478874196,19219.801030073402
15.1,glucose,1.0,16.1,115178.96532593622,114259.04478874196,19219.801030073402
15.1,glucose,1.5,16.1,196053.45076282948,114259.04478874196,19219.801030073402
15.1,glucose,2.0,16.1,251625.43411927886,114259.04478874196,19219.801030073402
