arrival_time,carbon_source,departure_time,integrated_intensity,sample_id,concentration_mM,rescaled_concentration_mM
24.3,acetate,25.6,92035.53846153847,1.0,6.2048052882388145,31.024026441194074
24.3,acetate,25.6,82989.44282744284,2.0,5.551567316042963,27.757836580214814
24.3,acetate,25.6,80729.1413721414,3.0,5.388346098963705,26.941730494818525
24.3,acetate,25.6,76241.56340956339,4.0,5.064288467150009,25.321442335750042
24.3,acetate,25.6,83317.14968814969,5.0,5.575231731479381,27.876158657396903
24.3,acetate,25.6,81931.15800415802,6.0,5.475146298630477,27.375731493152387
24.3,acetate,25.6,80433.6195426195,7.0,5.3670058336752335,26.835029168376167
24.3,acetate,25.6,72658.58004158002,8.0,4.805553551625659,24.02776775812829
24.3,acetate,25.6,69296.50311850311,9.0,4.562770764395398,22.81385382197699
15.1,glucose,16.1,21208.15384615384,1.0,0.017402148072888073,0.08701074036444037
15.1,glucose,16.1,14460.825363825361,2.0,0.0,0.0
15.1,glucose,16.1,10235.268191268195,3.0,0.0,0.0
15.1,glucose,16.1,5159.848232848236,4.0,0.0,0.0
15.1,glucose,16.1,3583.1663201663196,5.0,0.0,0.0
15.1,glucose,16.1,4177.0644490644445,6.0,0.0,0.0
15.1,glucose,16.1,2396.9106029105974,7.0,0.0,0.0
15.1,glucose,16.1,1189.6444906444863,8.0,0.0,0.0
15.1,glucose,16.1,1923.3367983367916,9.0,0.0,0.0
