peak_id,retention_time,initial_time,final_time,peak_area,peak_height,strain,date,sample_id
1,10.878,10.625,11.492,119993,7655,NCM3722,2021-02-15,8
2,13.399000000000001,12.558,14.367,429260,17225,NCM3722,2021-02-15,8
3,24.914,24.275,25.616999999999997,35152,1256,NCM3722,2021-02-15,8
4,29.743000000000002,28.666999999999998,29.967,10005,137,NCM3722,2021-02-15,8
1,10.879000000000001,10.625,11.508,119972,7562,NCM3722,2021-02-15,9
2,13.397,12.55,14.275,427344,17147,NCM3722,2021-02-15,9
3,24.918000000000003,24.316999999999997,25.675,33793,1217,NCM3722,2021-02-15,9
4,29.71,28.658,29.967,11911,154,NCM3722,2021-02-15,9
1,10.876,10.625,11.433,123196,7888,NCM3722,2021-02-15,4
2,13.404000000000002,12.583,14.667,447428,17622,NCM3722,2021-02-15,4
3,15.549000000000001,15.275,16.075,1340,64,NCM3722,2021-02-15,4
4,24.91,24.291999999999998,25.691999999999997,38162,1355,NCM3722,2021-02-15,4
5,29.74,28.675,29.967,10438,144,NCM3722,2021-02-15,4
1,6.227,5.367000000000001,6.858,15724,427,NCM3722,2021-02-15,5
2,10.868,10.617,11.8,140594,8663,NCM3722,2021-02-15,5
3,13.417,12.542,14.308,476349,18643,NCM3722,2021-02-15,5
4,24.9,24.267,25.625,40617,1456,NCM3722,2021-02-15,5
1,6.21,5.542000000000001,6.85,16956,491,NCM3722,2021-02-15,7
2,10.876,10.625,11.867,141089,8548,NCM3722,2021-02-15,7
3,13.42,12.525,14.275,468735,18404,NCM3722,2021-02-15,7
4,24.91,24.283,25.991999999999997,40717,1421,NCM3722,2021-02-15,7
1,6.209,5.5,6.925,13863,373,NCM3722,2021-02-15,6
2,10.87,10.617,11.908,141740,8579,NCM3722,2021-02-15,6
3,13.415,12.55,14.342,471765,18508,NCM3722,2021-02-15,6
4,24.901,24.25,25.642,40675,1447,NCM3722,2021-02-15,6
1,10.877,10.625,11.517000000000001,135435,8646,NCM3722,2021-02-15,2
2,13.427999999999999,12.558,14.442,479316,18648,NCM3722,2021-02-15,2
3,15.562000000000001,15.183,16.183,6208,265,NCM3722,2021-02-15,2
4,24.909000000000002,24.283,25.608,40513,1451,NCM3722,2021-02-15,2
5,29.653000000000002,28.625,29.967,14865,201,NCM3722,2021-02-15,2
1,10.874,10.625,11.817,136924,8411,NCM3722,2021-02-15,3
2,13.415,12.533,14.482999999999999,463777,18206,NCM3722,2021-02-15,3
3,15.545,15.242,15.975,2511,126,NCM3722,2021-02-15,3
4,24.910999999999998,24.308000000000003,25.583000000000002,38795,1415,NCM3722,2021-02-15,3
5,29.658,28.658,29.967,12967,183,NCM3722,2021-02-15,3
1,10.876,10.625,11.492,149204,9629,NCM3722,2021-02-15,1
2,13.452,12.533,14.475,529056,20076,NCM3722,2021-02-15,1
3,15.557,15.158,16.125,8652,387,NCM3722,2021-02-15,1
4,24.903000000000002,24.258000000000003,25.625,45016,1616,NCM3722,2021-02-15,1
