clock_time,strain,od_600nm,sample_id,glucose_mM,acetate_mM,date,sampled,elapsed_time_hr,rel_od_600nm,region,glucose_concentration_mM,acetate_concentration_mM
2021-02-16 14:16:00,NCM3722,0.043,1,0.61,30,2021-02-15,True,0.0,1.0,growth on glucose,0.08701074036444037,31.024026441194078
2021-02-16 14:33:00,NCM3722,0.062,0,0.61,30,2021-02-15,False,0.2833333333333333,1.4418604651162792,growth on glucose,,
2021-02-16 14:45:00,NCM3722,0.068,0,0.61,30,2021-02-15,False,0.48333333333333334,1.5813953488372094,growth on glucose,,
2021-02-16 14:56:00,NCM3722,0.09,0,0.61,30,2021-02-15,False,0.6666666666666666,2.0930232558139537,growth on glucose,,
2021-02-16 15:07:00,NCM3722,0.1,0,0.61,30,2021-02-15,False,0.85,2.3255813953488373,growth on glucose,,
2021-02-16 15:19:00,NCM3722,0.122,2,0.61,30,2021-02-15,True,1.05,2.8372093023255816,growth on glucose,0.0,27.75783658021481
2021-02-16 15:35:00,NCM3722,0.15,0,0.61,30,2021-02-15,False,1.3166666666666667,3.488372093023256,growth on glucose,,
2021-02-16 15:46:00,NCM3722,0.17800000000000002,0,0.61,30,2021-02-15,False,1.5,4.139534883720931,growth on glucose,,
2021-02-16 15:53:00,NCM3722,0.198,3,0.61,30,2021-02-15,True,1.6166666666666667,4.604651162790698,growth on glucose,0.0,26.941730494818525
2021-02-16 16:17:00,NCM3722,0.28,0,0.61,30,2021-02-15,False,2.0166666666666666,6.511627906976745,growth on glucose,,
2021-02-16 16:30:00,NCM3722,0.3,4,0.61,30,2021-02-15,True,2.2333333333333334,6.976744186046512,lag phase,0.0,25.321442335750042
2021-02-16 16:55:00,NCM3722,0.325,0,0.61,30,2021-02-15,False,2.65,7.558139534883722,lag phase,,
2021-02-16 17:08:00,NCM3722,0.313,5,0.61,30,2021-02-15,True,2.8666666666666667,7.279069767441861,lag phase,0.0,27.876158657396907
2021-02-16 17:20:00,NCM3722,0.32899999999999996,0,0.61,30,2021-02-15,False,3.066666666666667,7.651162790697674,lag phase,,
2021-02-16 17:31:00,NCM3722,0.326,0,0.61,30,2021-02-15,False,3.25,7.58139534883721,lag phase,,
2021-02-16 17:43:00,NCM3722,0.319,0,0.61,30,2021-02-15,False,3.45,7.418604651162791,lag phase,,
2021-02-16 17:56:00,NCM3722,0.315,0,0.61,30,2021-02-15,False,3.6666666666666665,7.325581395348838,lag phase,,
2021-02-16 18:10:00,NCM3722,0.314,6,0.61,30,2021-02-15,True,3.9,7.302325581395349,lag phase,0.0,27.37573149315239
2021-02-16 18:20:00,NCM3722,0.301,0,0.61,30,2021-02-15,False,4.066666666666666,7.0,lag phase,,
2021-02-16 18:30:00,NCM3722,0.298,0,0.61,30,2021-02-15,False,4.233333333333333,6.930232558139535,lag phase,,
2021-02-16 18:41:00,NCM3722,0.311,0,0.61,30,2021-02-15,False,4.416666666666667,7.232558139534884,lag phase,,
2021-02-16 18:50:00,NCM3722,0.312,0,0.61,30,2021-02-15,False,4.566666666666666,7.2558139534883725,lag phase,,
2021-02-16 19:02:00,NCM3722,0.311,0,0.61,30,2021-02-15,False,4.766666666666667,7.232558139534884,lag phase,,
2021-02-16 19:10:00,NCM3722,0.322,7,0.61,30,2021-02-15,True,4.9,7.488372093023257,lag phase,0.0,26.835029168376174
2021-02-16 19:22:00,NCM3722,0.32899999999999996,0,0.61,30,2021-02-15,False,5.1,7.651162790697674,growth on acetate,,
2021-02-16 19:32:00,NCM3722,0.332,0,0.61,30,2021-02-15,False,5.266666666666667,7.720930232558141,growth on acetate,,
2021-02-16 19:37:00,NCM3722,0.34600000000000003,8,0.61,30,2021-02-15,True,5.35,8.046511627906979,growth on acetate,0.0,24.02776775812829
2021-02-16 19:48:00,NCM3722,0.345,0,0.61,30,2021-02-15,False,5.533333333333333,8.023255813953488,growth on acetate,,
2021-02-16 19:57:00,NCM3722,0.365,0,0.61,30,2021-02-15,False,5.683333333333334,8.488372093023257,growth on acetate,,
2021-02-16 20:10:00,NCM3722,0.384,0,0.61,30,2021-02-15,False,5.9,8.930232558139537,growth on acetate,,
2021-02-16 20:17:00,NCM3722,0.40399999999999997,9,0.61,30,2021-02-15,True,6.016666666666667,9.395348837209303,growth on acetate,0.0,22.813853821976984
