peak_id,retention_time,initial_time,final_time,peak_area,peak_height,date,glucose_mM,acetate_mM
1,7.156000000000001,6.233,8.083,14029,266,2021-02-22,7.5,22.5
2,10.879000000000001,10.592,11.857999999999999,242960,15368,2021-02-22,7.5,22.5
3,13.517000000000001,12.575,14.375,626201,22862,2021-02-22,7.5,22.5
4,15.555,15.033,16.65,152744,6685,2021-02-22,7.5,22.5
5,24.901,24.283,25.783,59051,2086,2021-02-22,7.5,22.5
6,29.713,28.633000000000003,29.967,20077,229,2021-02-22,7.5,22.5
1,10.827,10.55,11.525,75224,4499,2021-02-22,1.25,3.75
2,13.175999999999998,12.517000000000001,13.992,202157,9563,2021-02-22,1.25,3.75
3,15.512,15.017000000000001,16.35,49519,2094,2021-02-22,1.25,3.75
4,24.868000000000002,24.3,25.725,19517,659,2021-02-22,1.25,3.75
1,10.895,10.65,11.375,35671,2177,2021-02-22,1.0,3.0
2,13.234000000000002,12.55,13.9,209638,9770,2021-02-22,1.0,3.0
3,15.571,15.083,16.4,51578,2181,2021-02-22,1.0,3.0
4,24.918000000000003,24.342,25.725,19519,673,2021-02-22,1.0,3.0
5,29.759,28.658,29.967,8299,104,2021-02-22,1.0,3.0
1,7.138999999999999,6.425,7.957999999999999,5993,131,2021-02-22,0.75,2.25
2,10.88,10.633,11.5,28048,1656,2021-02-22,0.75,2.25
3,13.162,12.492,14.125,152259,7383,2021-02-22,0.75,2.25
4,15.556,15.083,16.292,36497,1577,2021-02-22,0.75,2.25
5,24.903000000000002,24.383000000000003,25.525,13902,502,2021-02-22,0.75,2.25
1,10.877,10.633,11.317,16600,1048,2021-02-22,0.5,1.5
2,13.091,12.558,14.158,94122,4714,2021-02-22,0.5,1.5
3,15.549000000000001,15.1,16.142,22008,971,2021-02-22,0.5,1.5
4,24.914,24.433000000000003,25.533,8729,317,2021-02-22,0.5,1.5
1,6.975,6.683,7.45,1253,51,2021-02-22,2.5,7.5
2,10.860999999999999,10.607999999999999,11.275,8226,523,2021-02-22,2.5,7.5
3,13.017000000000001,12.567,13.675,42694,2198,2021-02-22,2.5,7.5
4,15.539000000000001,15.142000000000001,16.175,9678,430,2021-02-22,2.5,7.5
5,24.878,24.467,25.375,3479,136,2021-02-22,2.5,7.5
1,7.135,6.2170000000000005,7.892,13008,282,2021-02-22,10.0,30.0
2,10.899000000000001,10.6,11.842,311287,19425,2021-02-22,10.0,30.0
3,13.62,12.592,14.883,812845,27626,2021-02-22,10.0,30.0
4,15.572000000000001,15.025,16.425,197576,8488,2021-02-22,10.0,30.0
5,24.918000000000003,24.258000000000003,25.775,76510,2687,2021-02-22,10.0,30.0
6,29.712,28.691999999999997,29.967,10712,158,2021-02-22,10.0,30.0
1,7.115,6.442,7.983,8074,179,2021-02-22,5.0,15.0
2,10.874,10.575,11.975,337820,21004,2021-02-22,5.0,15.0
3,13.622,12.55,14.908,883721,29293,2021-02-22,5.0,15.0
4,15.544,14.908,16.542,216367,9263,2021-02-22,5.0,15.0
5,24.891,24.241999999999997,25.683000000000003,82234,2908,2021-02-22,5.0,15.0
