od_600nm,glucose_mM,date,elapsed_time_hr,rel_od_600nm
0.044000000000000004,10,2021-02-25,0.0,1.0
0.055999999999999994,10,2021-02-25,0.21666666666666667,1.2727272727272725
0.06,10,2021-02-25,0.36666666666666664,1.3636363636363635
0.07200000000000001,10,2021-02-25,0.55,1.6363636363636365
0.08800000000000001,10,2021-02-25,0.75,2.0
0.10099999999999999,10,2021-02-25,0.9333333333333333,2.295454545454545
0.183,10,2021-02-25,1.55,4.159090909090908
0.221,10,2021-02-25,1.7666666666666666,5.0227272727272725
0.252,10,2021-02-25,1.9333333333333333,5.727272727272727
0.289,10,2021-02-25,2.0833333333333335,6.5681818181818175
0.364,10,2021-02-25,2.316666666666667,8.272727272727272
