,cred_int,map_val,parameter,replicate
0,0.014407944564846235,0.9161411312582562,growth_rate,1
1,0.001763094485393158,0.10381075255153391,od_init,1
2,0.0009934905214072864,0.0026653471746102705,sigma,1
0,0.03359395086903875,0.854294774246705,growth_rate,2
1,0.004442510265218607,0.10624243856112074,od_init,2
2,0.002473990454324897,0.00661686101585919,sigma,2
0,0.028038725060744764,0.8848400927103323,growth_rate,3
1,0.0036489370725085587,0.10769207008957217,od_init,3
2,0.0020117737512803423,0.005408649323528792,sigma,3
0,0.01535715895423742,0.90144119091784,growth_rate,4
1,0.001826212121761037,0.10512302385563868,od_init,4
2,0.0010000472359714498,0.0025835594589354222,sigma,4
