amplitude,area,peak_idx,retention_time,scale,skew,compound,concentration_mM
26000.812149682373,3120097.457961886,1,15.530161750125446,0.2166980554694842,1.4809922703079892,glucose,15.0
3007.5963501224837,360911.56201469805,3,24.93815598047541,0.24082673108926897,1.0478384187442868,acetate,15.0
52533.97576573159,6304077.091887793,1,15.534950281718945,0.2162000102198194,1.4655229501019347,glucose,30.0
6079.006217787599,729480.7461345118,3,24.934989251130766,0.24375031671926772,1.0861396541829749,acetate,30.0
16918.73081912909,2030247.6982954913,1,15.53024297652178,0.2169467224567217,1.48517982163946,glucose,10.0
1972.2870922527238,236674.45107032685,3,24.943986487700037,0.2401575616481386,1.0370616884686392,acetate,10.0
8537.324086497996,1024478.8903797598,1,15.531858852628016,0.21732899005056325,1.4875637812551485,glucose,5.0
998.3507691721301,119802.09230065561,4,24.947937886855456,0.2394679128147349,1.0279824709855185,acetate,5.0
1576.929412139593,189231.52945675122,1,15.527781436725903,0.21699783374496012,1.4707515711287913,glucose,1.0
198.3649566777734,23803.794801332802,4,24.943382256817028,0.23870126813738846,1.0194800333806329,acetate,1.0
44354.29267061001,5322515.120473203,1,15.534383213527434,0.2162661376603236,1.4709594945786115,glucose,25.0
5071.803536314614,608616.4243577536,3,24.937137410524922,0.24283163594172325,1.0749600518880356,acetate,25.0
5076.530464517748,609183.6557421299,1,15.527303582120144,0.217085853057778,1.4853364652855963,glucose,3.0
596.4148833743682,71569.78600492419,4,24.94199539049418,0.2392331743122506,1.027380713679907,acetate,3.0
34521.823015660906,4142618.761879309,1,15.529378912964201,0.21648394647164867,1.4752779988705562,glucose,20.0
4011.744930675819,481409.39168109826,3,24.93556950586642,0.24175064170082874,1.059789294750733,acetate,20.0
3105.1852300381706,372622.2276045806,1,15.528684456339697,0.21676884462656265,1.4776212928826373,glucose,2.0
390.54392920332816,46865.27150439937,4,24.94426502603419,0.2391358135657971,1.0241295735098115,acetate,2.0
