peak_idx,retention_time,arrival_time,departure_time,area,height,detector,replicate,time_idx,compound
2,10.890999999999998,4.475,11.325,610219,17508,B,1,1,NaCl
4,13.976,12.558,14.242,1927165,48976,B,1,1,phosphate
6,15.675,14.975,17.583,1170433,45672,B,1,1,glucose
8,25.026,24.642,25.592,2692,97,B,1,1,acetate
1,10.884,10.425,11.792,249027,14529,B,1,2,NaCl
2,13.925,12.55,14.192,1686363,45038,B,1,2,phosphate
4,15.67,14.967,17.275,1008567,40386,B,1,2,glucose
6,25.03,24.558000000000003,25.65,4857,165,B,1,2,acetate
1,10.883,10.425,11.9,251897,14682,B,1,3,NaCl
2,13.928,12.542,14.2,1701084,45243,B,1,3,phosphate
4,15.67,14.975,17.483,999678,39995,B,1,3,glucose
6,25.033,24.583,25.617,5647,204,B,1,3,acetate
1,10.882,10.417,12.025,231399,13469,B,1,4,NaCl
2,13.897,12.55,14.175,1587435,42985,B,1,4,phosphate
4,15.672,14.967,17.467,910013,36313,B,1,4,glucose
6,25.019,24.575,25.633000000000006,6158,222,B,1,4,acetate
1,10.888,10.417,11.958,266512,15429,B,1,5,NaCl
2,13.956,12.533,14.225,1794042,47002,B,1,5,phosphate
4,15.674,14.975,17.55,1036050,41417,B,1,5,glucose
6,25.031,24.525,25.717,8907,308,B,1,5,acetate
1,10.883,10.408,11.933,236228,13724,B,1,6,NaCl
2,13.906,12.55,14.183,1615834,43550,B,1,6,phosphate
4,15.672,14.975,17.5,899824,35908,B,1,6,glucose
6,25.027,24.525,25.667,9398,325,B,1,6,acetate
1,10.883,10.408,11.942,243522,14154,B,1,7,NaCl
2,13.92,12.55,14.192,1666465,44547,B,1,7,phosphate
4,15.671,14.967,17.475,922829,36825,B,1,7,glucose
6,25.028,24.508000000000006,25.675,10241,354,B,1,7,acetate
1,10.885,10.417,11.308,254599,14715,B,2,1,NaCl
3,13.939,12.575,14.208,1733801,45862,B,2,1,phosphate
5,15.673,14.975,17.492,1084259,43232,B,2,1,glucose
7,25.027,24.642,25.592,2613,97,B,2,1,acetate
1,10.89,10.4,11.908,300984,17470,B,2,2,NaCl
2,14.026,12.542,14.975,2270186,52389,B,2,2,phosphate
3,15.674,14.975,17.65,1351192,53814,B,2,2,glucose
5,25.026,24.592,25.542,4214,159,B,2,2,acetate
1,10.89,10.417,11.942,267968,15599,B,2,3,NaCl
2,13.977,12.558,14.242,1872738,48445,B,2,3,phosphate
4,15.677,14.983,17.567,1175171,46745,B,2,3,glucose
6,25.047,24.583,25.658,5622,196,B,2,3,acetate
1,10.885,10.417,11.975,240834,14026,B,2,4,NaCl
2,13.921,12.55,14.192,1667289,44557,B,2,4,phosphate
4,15.674,14.975,17.633,978848,38913,B,2,4,glucose
6,25.033,24.558000000000003,25.642,6924,245,B,2,4,acetate
1,10.883,10.417,11.875,231950,13534,B,2,5,NaCl
2,13.902,12.558,14.175,1598759,43247,B,2,5,phosphate
4,15.674,14.967,17.767,915068,36379,B,2,5,glucose
6,25.045,24.55,25.675,8516,291,B,2,5,acetate
1,10.883,10.417,11.933,225768,13195,B,2,6,NaCl
2,13.889,12.55,14.167,1550514,42271,B,2,6,phosphate
4,15.675,14.975,17.35,846981,33865,B,2,6,glucose
6,25.033,24.525,25.658,9069,313,B,2,6,acetate
1,10.885,10.417,12.017,244409,14236,B,2,7,NaCl
2,13.936,12.55,14.2,1712017,45498,B,2,7,phosphate
4,15.675999999999998,14.958,17.4,983046,39277,B,2,7,glucose
6,25.037,24.533,25.717,10898,373,B,2,7,acetate
1,10.895,10.417,11.308,256616,14966,B,3,1,NaCl
3,13.978,12.567,14.242,1833718,47805,B,3,1,phosphate
5,15.687,14.983,17.108,1218915,49077,B,3,1,glucose
7,25.054,24.683000000000003,25.558000000000003,2525,98,B,3,1,acetate
1,10.89,10.425,11.7,250612,14819,B,3,2,NaCl
2,13.967,12.558,14.233,1817447,47471,B,3,2,phosphate
4,15.68,14.975,17.6,1194260,47840,B,3,2,glucose
6,25.034,24.608,25.55,3323,124,B,3,2,acetate
1,10.886,10.417,11.817,228750,13456,B,3,3,NaCl
2,13.905,12.55,14.183,1601613,43289,B,3,3,phosphate
4,15.677,14.967,17.508,957830,38287,B,3,3,glucose
6,25.036,24.558000000000003,25.658,5507,193,B,3,3,acetate
1,10.886,10.417,11.75,238599,14046,B,3,4,NaCl
2,13.933,12.558,14.2,1698203,45220,B,3,4,phosphate
4,15.678,14.983,17.633,1034545,41387,B,3,4,glucose
6,25.042,24.567,25.658,7111,249,B,3,4,acetate
1,10.885,10.417,11.892,230272,13559,B,3,5,NaCl
2,13.911,12.542,14.183,1620573,43695,B,3,5,phosphate
4,15.677,14.975,17.575,951130,38001,B,3,5,glucose
6,25.039,24.542,25.667,8347,285,B,3,5,acetate
1,10.885,10.408,11.917,225388,13236,B,3,6,NaCl
2,13.894,12.558,14.175,1559668,42477,B,3,6,phosphate
4,15.678,14.975,17.358,861842,34555,B,3,6,glucose
6,25.049,24.533,25.775,9713,329,B,3,6,acetate
1,10.884,10.4,12.058,229247,13382,B,3,7,NaCl
2,13.902,12.533,14.175,1588216,43066,B,3,7,phosphate
4,15.677,14.967,17.65,887771,35443,B,3,7,glucose
6,25.038,24.508000000000006,25.7,10182,346,B,3,7,acetate
